,Title,Source,Date,Title Sentiment,Body Sentiment,Summary,Link,Body
1,VW partners with Microsoft for connected driving services,Yahoo UK and Ireland,2018-10-04,0.849745,0.717462,"A ‘strategic partnership’ between the two brands will provide solutions for VWs upcoming connected vehicle fleet

Two of the largest and most powerful brands in the world, Volkswagen and Microsoft, have announced a partnership. VW will team up with the American tech giant in order to develop new digital services for the brand’s owners, fleet managers and dealers. The pair will create the Volkswagen Automotive Cloud, a proprietary system that will bring live digital services into cars such as in-car telematics, online entertainment and live traffic data. The partnership will also aid Volkswagen in its plan to become a ‘mobility provider’ rather than a mere car company – with ride sharing, autonomous driving and the Volkswagen ‘We’ digital platform all encompassed. As part of the agreement with Microsoft, Volkswagen will establish a new digital office in North America, close to the computing giant’s HQ.",https://uk.news.yahoo.com/vw-partners-microsoft-connected-driving-161450501.html,"A ‘strategic partnership’ between the two brands will provide solutions for VWs upcoming connected vehicle fleet

Two of the largest and most powerful brands in the world, Volkswagen and Microsoft, have announced a partnership. VW will team up with the American tech giant in order to develop new digital services for the brand’s owners, fleet managers and dealers.

Microsoft’s ‘Azure’ software will be used to develop cloud-based connectivity services. The technology will be limited to Volkswagen initially, but will spread to other vehicles in the group’s range, including those from Audi, Seat, and Skoda and even Bugatti and Bentley.

The pair will create the Volkswagen Automotive Cloud, a proprietary system that will bring live digital services into cars such as in-car telematics, online entertainment and live traffic data. It’s expected to form a major part of the brand’s upcoming I.D. family of electric cars, providing data on charging points and planning routes around electric chargers.

The partnership will also aid Volkswagen in its plan to become a ‘mobility provider’ rather than a mere car company – with ride sharing, autonomous driving and the Volkswagen ‘We’ digital platform all encompassed.

VW promises that by 2020, there will be more than 5 million of its vehicles on the roads with online connectivity – tied into the IoT (Internet of Things) in the cloud.

As part of the agreement with Microsoft, Volkswagen will establish a new digital office in North America, close to the computing giant’s HQ. This will enable VW to work closely with Microsoft on these digital systems. Around 300 workers will be employed there."
2,Ebay accuses Amazon of poaching marketplace sellers on its own messaging system,Yahoo UK and Ireland,2018-10-05,0.519334,0.731603,"Bosses at eBay have accused rivals at Amazon Marketplace of stealing its independent sellers by using its own messaging system. The auction site sent a letter to Amazon on Wednesday stating it had discovered 50 Amazon sales representatives had sent 1,000 messages to eBay sellers to convince them to move their business, the Wall Street Journal reported. “We can confirm that we have uncovered an unlawful and troubling scheme on the part of Amazon to solicit eBay sellers to move to Amazon’s platform,” eBay told reporters. Competition between the two marketplaces has become increasingly tense as more and more consumers move towards direct sellers, and both Amazon and eBay are thriving with independent businesses and start-ups using the platforms to sell desirable goods. Marketplace Pulse figures showed Amazon marketplace grew by over a million sellers last year, with over five million in total and sales of $118.57 billion.",https://uk.news.yahoo.com/ebay-accuses-amazon-poaching-marketplace-102114664.html,"Bosses at eBay have accused rivals at Amazon Marketplace of stealing its independent sellers by using its own messaging system.

The auction site sent a letter to Amazon on Wednesday stating it had discovered 50 Amazon sales representatives had sent 1,000 messages to eBay sellers to convince them to move their business, the Wall Street Journal reported.

“We can confirm that we have uncovered an unlawful and troubling scheme on the part of Amazon to solicit eBay sellers to move to Amazon’s platform,” eBay told reporters. “We have demanded that Amazon end its unlawful activity and will take the appropriate steps, as needed, to protect eBay.

An Amazon spokesman reportedly responded in a statement to the Verge: “We are conducting a thorough investigation of these allegations.”

Competition between the two marketplaces has become increasingly tense as more and more consumers move towards direct sellers, and both Amazon and eBay are thriving with independent businesses and start-ups using the platforms to sell desirable goods.

Marketplace Pulse figures showed Amazon marketplace grew by over a million sellers last year, with over five million in total and sales of $118.57 billion. eBay serves more people with 25 million sellers and 175 million shoppers. But it is consumer activity was lower, with $88.4 billion."
3,Amazon is working with Brazil's CargoX for logistics pilot project: BBG,Yahoo UK and Ireland,2018-10-05,0.728726,0.54044,"FILE PHOTO: The logo of Amazon is pictured inside the company's office in Bengaluru, India, April 20, 2018. REUTERS/Abhishek N. Chinnappa/File Photo

(Reuters) - Amazon.com Inc is working on a pilot logistics project in Brazil with Goldman Sachs-backed CargoX, Bloomberg reported on Thursday, citing people familiar with the matter. The e-commerce giant is partnering with the Brazilian trucking startup to use bulletproof trucks for the delivery of high-value goods, including electronics, the report said. Amazon, which is revving up operations in Latin America's largest economy six years after entering the market, said in August it will start selling sportswear and clothing on its Brazilian site, bolstering the list of products that third-party vendors offer on its local e-commerce marketplace. Reuters reported in April Amazon was in talks with Brazilian airline Azul SA on shipping goods in the country, in attempts to overcome the nation's notorious logistical challenges, including shoddy roads, security problems and a national territory greater than the continental United States.",https://uk.news.yahoo.com/amazon-working-brazil-apos-cargox-191125199.html,"FILE PHOTO: The logo of Amazon is pictured inside the company's office in Bengaluru, India, April 20, 2018. REUTERS/Abhishek N. Chinnappa/File Photo

(Reuters) - Amazon.com Inc is working on a pilot logistics project in Brazil with Goldman Sachs-backed CargoX, Bloomberg reported on Thursday, citing people familiar with the matter.

The e-commerce giant is partnering with the Brazilian trucking startup to use bulletproof trucks for the delivery of high-value goods, including electronics, the report said.

Amazon, which is revving up operations in Latin America's largest economy six years after entering the market, said in August it will start selling sportswear and clothing on its Brazilian site, bolstering the list of products that third-party vendors offer on its local e-commerce marketplace.

Reuters reported in April Amazon was in talks with Brazilian airline Azul SA on shipping goods in the country, in attempts to overcome the nation's notorious logistical challenges, including shoddy roads, security problems and a national territory greater than the continental United States."
4,"Shares in Chinese tech firms tumble, Lenovo plunges over 20 percent",Yahoo UK and Ireland,2018-10-05,0.709781,0.529447,"REUTERS/Thomas White/Illustration

HONG KONG (Reuters) - Shares of Chinese hardware companies fell sharply on Friday, led by computer maker Lenovo Group Ltd which lost more than a fifth of its value. It was not immediately clear what was the cause, but the declines follow a Bloomberg Businessweek report that U.S. tech companies' systems had been infiltrated by malicious chips inserted by Chinese intelligence agents. Bloomberg Businessweek cited unidentified sources from intelligence agencies and business that Chinese spies had placed computer chips inside equipment used by about 30 companies and multiple U.S. government agencies, which would give Beijing secret access to internal networks. Apple Inc and Amazon, cited in the report as companies that had been subject to the hardware attack, both denied the report. Lenovo dropped as much as 23 percent on Friday morning, while Hong Kong-listed shares of Chinese telecommunications equipment maker ZTE Corp lost more than 14 percent.",https://uk.news.yahoo.com/shares-chinese-tech-firms-tumble-030649338.html,"The Lenovo logo is seen in this illustration photo January 22, 2018. REUTERS/Thomas White/Illustration

HONG KONG (Reuters) - Shares of Chinese hardware companies fell sharply on Friday, led by computer maker Lenovo Group Ltd which lost more than a fifth of its value.

It was not immediately clear what was the cause, but the declines follow a Bloomberg Businessweek report that U.S. tech companies' systems had been infiltrated by malicious chips inserted by Chinese intelligence agents.

Bloomberg Businessweek cited unidentified sources from intelligence agencies and business that Chinese spies had placed computer chips inside equipment used by about 30 companies and multiple U.S. government agencies, which would give Beijing secret access to internal networks.

Apple Inc and Amazon, cited in the report as companies that had been subject to the hardware attack, both denied the report.

Lenovo dropped as much as 23 percent on Friday morning, while Hong Kong-listed shares of Chinese telecommunications equipment maker ZTE Corp lost more than 14 percent.

AAC Technologies, a key acoustics component supplier for Apple, fell more than 5 percent."
5,A new survey suggests Amazon — not Walmart or Target — is most likely to steal Toys R Us' former customers,Yahoo UK and Ireland,2018-10-06,0.657653,0.997227,"That's four top categories for holiday shopping where customers all prefer to go online to Amazon instead of shopping in store. Analysts are already forecasting a good holiday for retailers, with most overall sales growth estimates in the high single or low double digits. Most of this year's growth will likely come from online sales, as Forrester Research is predicting 14% sales growth online but only 1.7% growth in stores. That's more good news for Amazon, as analysts estimated that it took nearly half of all online retail sales in 2017, and will take even more this year. In fact, Forrest says online holiday retail sales will account for over 32% all sales online for the entire year.",https://uk.news.yahoo.com/survey-suggests-amazon-not-walmart-142918111.html,"Amazon is sitting pretty headed into the holidays.

Shoppers say they prefer to buy toys on Amazon, according to a recent consumer survey by Stifel Financial. They also prefer to buy electronics, jewelry, and sports apparel with the online retailer.

That's four top categories for holiday shopping where customers all prefer to go online to Amazon instead of shopping in store.

The survey was conducted by asking thousands of shoppers what they purchase at Walmart, Target, and Costco and what they prefer to buy online on Amazon.

It's not a good sign for America's largest store chains as they head into the holiday season. Toys are an especially important thing to watch this year, as the category will be hotly contested as retailers fight for a piece of the billions Toys R Us did in sales in 2017.

Analysts are already forecasting a good holiday for retailers, with most overall sales growth estimates in the high single or low double digits. But it's even better news for e-commerce players like Amazon.

Most of this year's growth will likely come from online sales, as Forrester Research is predicting 14% sales growth online but only 1.7% growth in stores. That's more good news for Amazon, as analysts estimated that it took nearly half of all online retail sales in 2017, and will take even more this year.

In fact, Forrest says online holiday retail sales will account for over 32% all sales online for the entire year.

NOW WATCH: Why horseshoe crab blood is so expensive"
6,Google 'trying to circumvent EU ruling' with price comparison sites run by ad agencies,Yahoo UK and Ireland,2018-10-06,0.893729,0.844431,"For the past four months, Google has been encouraging advertising agencies to create price comparison sites, which it presents in the Google Shopping box. Google launched its Comparison Shopping Service (CSS) scheme in June 2018 in response to the European Commission's 2017 judgment, which fined the search giant a record-breaking €2.4 billion (£2.14bn), and ordered it to give its comparison shopping competitors ""equal treatment"". Google approached advertising agencies and invited them to build comparison shopping sites. The search firm then showed the names of the new sites under the images in its Google Shopping advertising insert, giving the impression of a thriving comparison shopping marketplace. As part of Google's CSS scheme, ad firm Shoptimised operates a site called High Street One, which at first glance resembles a traditional price comparison site.",https://uk.news.yahoo.com/google-trying-circumvent-eu-ruling-182100458.html,"For the past four months, Google has been encouraging advertising agencies to create price comparison sites, which it presents in the Google Shopping box.

Google launched its Comparison Shopping Service (CSS) scheme in June 2018 in response to the European Commission's 2017 judgment, which fined the search giant a record-breaking €2.4 billion (£2.14bn), and ordered it to give its comparison shopping competitors ""equal treatment"".

Google approached advertising agencies and invited them to build comparison shopping sites.

It also offered substantial incentives to retailers to generate interest in the scheme.

The search firm then showed the names of the new sites under the images in its Google Shopping advertising insert, giving the impression of a thriving comparison shopping marketplace.

However, Google-certified operators told Sky News their sites were not designed to be used for shopping, with one calling it ""an advertising system that looks like a price comparison"".

As part of Google's CSS scheme, ad firm Shoptimised operates a site called High Street One, which at first glance resembles a traditional price comparison site.

Shoptimised co-founder, John Cave, said the site was never intended for consumers.

""High Street One is not designed for people to come on and shop,"" he said. ""It's literally a website set up so people such as ourselves can pass on benefits to agencies and retailers.""

Asked if that made the CSSs ""fake"", Mr Cave replied: ""You could call them that, yes.""

Richard Wyatt, managing director of another Google CSS partner, Onefeed, said his comparison shopping service was ""a means of getting a rebate.""

He added: ""I don't think it's got anything to do with shopping sites for customers.""

A Google spokesperson said: ""Google Shopping complies with the European Commission's order - we give all comparison shopping services the same opportunity to show ads from merchants on Google's search results page as we give to Google shopping.""

Since Google launched its comparison shopping service scheme, more than 90 sites have joined the scheme, with more than 60 in the United Kingdom.

Like High Street One, the majority are run by advertising firms, channelling advertisements from retailers into the Google Shopping box.

There is no suggestion of wrongdoing but consumer experts have raised concerns that many of the Google-certified sites do not make it clear to users how they make their money.

""If you have a comparison site that's run by an advertising agency patently using only its clients, that's not even slightly a comparison site in any sense,"" says Jasmine Birtles, founder of Money Magpie, who also criticised the sites' rudimentary functionality, calling it ""a nonsense"".

Google has laid out some specifications for its partners, including offering ""sorting or filtering"" and a method of searching.

Yet Sky News found sites freezing or crashing, offering a small range of products (often including the most random items even in a targeted search).

Despite Google's stipulations, many also had no method of filtering.

The CSS scheme is Google's second attempt to foster diversity in its Google Shopping box.

In September 2017, three months after the commission's verdict, Google announced that it would allow rivals to bid against its own service in the auction for advertising slots on Google Shopping, the insert it shows at the top of product searches.

However, several companies with knowledge of the scheme told Sky News that take-up from price comparison sites was poor.

So, from June 2018, Google began approaching ad agencies and inviting them to build comparison shopping sites.

The search firm offered retailers a monthly rebate of £32,000 if they advertised through a CSS.

It also gave discounts of up to 20% on the rates of ads passed through a CSS, which one CSS operator told Sky News could be worth as much as £200,000 to large advertisers.

CSS operators could charge for access to their site, or ask clients to pay a management fee, for instance by taking a percentage of the rebate.

With (Other OTC: WWTH - news) demand from retailers high, some ad agencies also joined the scheme in order to keep existing clients."
7,Samsung Electronics says third-quarter operating profit likely climbed by a fifth to record,Yahoo,2018-10-06,0.94032,0.956586,"FILE PHOTO: Visitors in front of a Samsung logo during the preview day of the IFA trade show for consumer electronics and home appliances, in Berlin, Germany August 30, 2018. REUTERS/Christian Mang/File Photo

SEOUL (Reuters) - Samsung Electronics Co Ltd <005930. KS> on Friday said its third-quarter operating profit likely jumped by a fifth to a record high, in line with market expectations, on demand from data centres and improved production yields. Samsung, in a regulatory filing, said July-September profit was likely 17.5 trillion won ($15.5 billion), up 20.4 percent from the same period a year earlier. Revenue likely rose 4.8 percent to 65 trillion won, matching the average of Refinitiv estimates.",https://www.yahoo.com/news/samsung-electronics-says-third-quarter-operating-profit-likely-235209832--finance.html,"FILE PHOTO: Visitors in front of a Samsung logo during the preview day of the IFA trade show for consumer electronics and home appliances, in Berlin, Germany August 30, 2018. REUTERS/Christian Mang/File Photo

SEOUL (Reuters) - Samsung Electronics Co Ltd <005930.KS> on Friday said its third-quarter operating profit likely jumped by a fifth to a record high, in line with market expectations, on demand from data centres and improved production yields.

The third quarter is, however, expected to mark a peak in earnings as a two-year super cycle of tight supply and soaring demand comes to an end, with prices of some types of chips already sliding sharply.

Samsung, in a regulatory filing, said July-September profit was likely 17.5 trillion won ($15.5 billion), up 20.4 percent from the same period a year earlier. That compared with an average forecast of 17.2 trillion won in a Refinitiv poll of 15 analysts.

The firm did not elaborate on its performance and will disclose detailed earnings in late October.

Revenue likely rose 4.8 percent to 65 trillion won, matching the average of Refinitiv estimates."
8,"No checkouts, no queues: are Amazon Go supermarkets coming to the UK?",Yahoo UK and Ireland,2018-10-09,0.80132,0.891751,"Amazon is reportedly scouting for new locations to launch its Amazon Go supermarkets in the UK. The cashierless supermarkets use technology to allow customers to pick up items and walk out with them, instead, charging their Amazon account so they don't have to stand in a checkout queue. Once customers are done shopping they can leave the store and Amazon will charge your account. This slogan appeared on Amazon’s YouTube video initially promoting the store

There is a difference between having the no checkout stores strictly for Amazon customers and allowing the general public in to try them out. In 2017, the Wall Street Journal reported that the technology faced problems when there were more than 20 people in the store, something Amazon has been working to correct and, as a result, has delayed the expected roll out of further locations.",https://uk.news.yahoo.com/no-checkouts-no-queues-amazon-092918962.html,"Amazon is reportedly scouting for new locations to launch its Amazon Go supermarkets in the UK.

The cashierless supermarkets use technology to allow customers to pick up items and walk out with them, instead, charging their Amazon account so they don't have to stand in a checkout queue.

According to The Sunday Times, the retailer is looking for “a significant number” of sites sized between 4,000 sq ft and 5,000 sq ft across the UK.

Amazon initially launched the concept back in 2016, allowing Amazon staff to trial the new technology. Since then, it has opened five stores in the US across Seattle and Chicago.

Customers download an Amazon Go app before entering the store. They have to use the app to enter the store, which registers their Amazon account, and then they can put their phone away and start shopping.

Amazon’s “Just Walk Out Technology” uses computer vision, sensor fusion and deep learning to detect when products are taken off a shelf, or later returned.

The technology keeps track of all the items in a virtual cart so there is no scanning involved. Once customers are done shopping they can leave the store and Amazon will charge your account.

It was only a matter of time before it brought the Amazon Go brand to the UK. The company filed several trademarks with the UK Intellectual Property Office last year, including slogans such as “No Lines. No Checkout. (No Seriously.)” This slogan appeared on Amazon’s YouTube video initially promoting the store

There is a difference between having the no checkout stores strictly for Amazon customers and allowing the general public in to try them out.

In 2017, the Wall Street Journal reported that the technology faced problems when there were more than 20 people in the store, something Amazon has been working to correct and, as a result, has delayed the expected roll out of further locations.

At the moment, it’s unlikely that Amazon Go will arrive to compete with your local Tesco or Sainsbury’s. The stores stock ready-to-eat items for breakfast, lunch and dinner, with some grocery essential ranges too, however, stock varies depending on which store you are in.

But, when it does arrive in the UK, it will no doubt be celebrated by busy Londoners. The idea of being able to pick up some lunch and walk out of the door without queueing is a dreamy one, we admit."
9,Google conference: how to watch tomorrow's Google Pixel 3 event and what's predicted,Yahoo UK and Ireland,2018-10-09,0.933204,0.588958,"Google is holding its annual #MadebyGoogle conference tomorrow where it will showcase all the shiny new products it’s going to release. Google is holding simultaneous events tomorrow in New York, Paris and London. Google already has the live stream set up on its channel and you can set a reminder to alert you before the event starts. As well as the Google Pixel 3 and Pixel 3 XL, a whole host of products are set to be revealed tomorrow. There were rumours that Google would release a follow-up to its laptop, the Google Pixelbook, tomorrow but the Pixel Slate could get an outing instead.",https://uk.news.yahoo.com/google-conference-watch-tomorrow-apos-100256411.html,"Google is holding its annual #MadebyGoogle conference tomorrow where it will showcase all the shiny new products it’s going to release.

What we do definitely know is that a new Google Pixel smartphone is on the cards. The Google Pixel 3 is going to be bigger and better than last year’s phone, and more expensive too.

A leaked version of the Google Pixel 3 XL in Hong Kong is pricing the phone at $1,547.

Want to be one of the first to see what Google has up its sleeves? Here’s what you need to know about tomorrow’s event and how to tune in.

Google is holding simultaneous events tomorrow in New York, Paris and London.

We’ll be reporting from London, but if you want to tune in too, the best way to do it is on YouTube.

Google already has the live stream set up on its channel and you can set a reminder to alert you before the event starts.

The live stream will start at 3.40pm, with the full event beginning at 4 pm.

As well as the Google Pixel 3 and Pixel 3 XL, a whole host of products are set to be revealed tomorrow.

The Google Home Hub is set to be a competitor to the Amazon Echo Show, essentially the Google Home complete with the Google Assistant but with a screen.

Google is also expected to release its first ever tablet. Expected to be called the Pixel Slate, the leaked images point to a very slim, black tablet with a detachable keyboard, and a fingerprint reader at the top of the device.

There were rumours that Google would release a follow-up to its laptop, the Google Pixelbook, tomorrow but the Pixel Slate could get an outing instead.

If you want some more information about the Made By Google event, then the Google Assistant is on hand to answer your queries.

If you ask your Google Home, “What’s this announcement about?,” or “When are you making this announcement?,” and “How can I find out more about this new announcement?,” then the Assistant will be able to drop some hints about tomorrow.

Google will be live streaming the event from 4pm on Tuesday, October 9. We'll be reporting live from the London event so head back to the Evening Standard Tech section tomorrow afternoon."
10,"Google poised to unveil new Pixel phones, other services",Yahoo - Singapore,2018-10-09,0.849775,0.645119,"Google is expected to introduce two new smartphones in its relentless push to increase the usage of its digital services and promote its Android software that already powers most of the mobile devices in the world. (AP Photo/Jeff Chiu, File)

NEW YORK (AP) -- Google is expected to introduce two new smartphones Tuesday, part of its continuing push to embed its digital services and Android software more deeply into peoples' lives. Google launched its line of high-end phones two years ago to better compete against Apple, Samsung and other device makers. Google doesn't disclose its phone shipments, unlike Apple, which has sold about 388 million iPhones since the first Pixel came out in October 2016. Google has been somewhat restrained in its distribution and marketing the Pixel phone, Llamas said, because it doesn't want to alienate Samsung and hundreds of other device makers who feature Android in their own phones.",https://ph.news.yahoo.com/google-poised-unveil-pixel-phones-070111490.html,"In this Tuesday, May 8, 2018 file photo, Google CEO Sundar Pichai speaks at the Google I/O conference in Mountain View, Calif. Google is expected to introduce two new smartphones in its relentless push to increase the usage of its digital services and promote its Android software that already powers most of the mobile devices in the world. The new phones will be the centerpiece of a showcase scheduled to begin late Tuesday morning, Oct. 9, 2018, in New York. (AP Photo/Jeff Chiu, File)

NEW YORK (AP) -- Google is expected to introduce two new smartphones Tuesday, part of its continuing push to embed its digital services and Android software more deeply into peoples' lives.

The new Pixel-branded phones will anchor a product event Tuesday in New York. Google launched its line of high-end phones two years ago to better compete against Apple, Samsung and other device makers. That includes many that rely on free software and apps such as the free Android operating system, which powers most of the world's mobile devices, as well as Google's search engine, Google Maps and YouTube.

Google is also likely to roll out several other gadgets, including new version of its ""smart"" Home speaker, a rumored tablet with a detachable keyboard and an update to its Chromecast streaming device, based on media leaks.

The latest Pixel phones are likely to attract the most attention, even though the first two generations have so far barely made a dent in the market. Google has sold an estimated 7 million Pixels over the past two years, almost imperceptible next to the 3.6 billion phones shipped during that time, according to the research firm International Data Corp.

Google doesn't disclose its phone shipments, unlike Apple, which has sold about 388 million iPhones since the first Pixel came out in October 2016.

""If you have a Google tattoo on you, then these are the phones for you,"" IDC analyst Ramon Llamas said of the Pixel's limited appeal so far.

Google has been somewhat restrained in its distribution and marketing the Pixel phone, Llamas said, because it doesn't want to alienate Samsung and hundreds of other device makers who feature Android in their own phones. Because Android highlights Google services, it's key to Google's business of selling ads through its search engine and other mobile apps.

The iPhone also features Google's search engine, but Google may be paying Apple as much as $9 billion annually for that privilege, based on the estimates of Goldman Sachs analyst Rod Hall.

The new Pixel phones are expected to follow the trend of expanding the phone screen nearly to the edges of the device. Apple, for instance, just released its biggest iPhone yet, the XS Max, which sells for as much as $1,450. Google hasn't yet discussed prices for its Pixel phones.

Analysts are also expecting Google to add higher resolution and more cameras to the Pixel, whose first two generations attracted rave reviews for its high-quality pictures."
