,Title,Source,Date,Title Sentiment,Body Sentiment,Summary,Link
1,What you need to know in advertising today,Yahoo UK and Ireland,2018-10-04,0.603673,0.541709,"Apple CEO Tim Cook is reiterating his call for new government regulations to protect consumer privacy from tech companies. Click here to read more about Cook’s interview and his thoughts on collecting data. Speaking during a panel at Advertising Week, serial entrepreneur Gary Vaynerchuk said that he thinks all of Facebook’s negative media attention actually goes over users' heads, reports the Observer. Facebook is warning its first business customers that hackers may have gotten their internal data, a stunning security lapse for a business-focused product. Here’s how the world's largest property owner could bring big business to Foursquare’s latest $33 million funding round.",https://uk.news.yahoo.com/know-advertising-today-140400006.html
2,Alibaba’s AutoNavi becomes the first Chinese maps service to navigate a path to 100 million daily users,Yahoo - Singapore,2018-10-05,0.676754,0.677517,"Alibaba’s AutoNavi becomes the first Chinese maps service to navigate a path to 100 million daily users

AutoNavi, Alibaba Holding’s maps app, said this week it crossed the 100 million daily users threshold on the first day of China’s Golden Week holiday, becoming the first maps service to reach such a milestone in China. The company hit the 100 million user mark at close to 8pm on October 1, China’s National Day, the first day of a week-long holiday in mainland China when millions of people are travelling to meet family and friends. The 100 million daily active users (DAU) milestone means that AutoNavi has likely surpassed Baidu Maps, its biggest rival in China’s mapping and navigation industry. Data from Quest Mobile last year showed that Baidu Maps had 300 million monthly active users, although the company has not publicly announced its latest daily active user numbers. This article Alibaba’s AutoNavi becomes the first Chinese maps service to navigate a path to 100 million daily users first appeared on South China Morning Post

For the latest news from the South China Morning Post download our mobile app.",https://ph.news.yahoo.com/alibaba-autonavi-blazes-trail-first-055559583.html
3,Asian stocks fall as US accuses China of election meddling,Yahoo - Singapore,2018-10-05,0.846527,0.581377,"Asian markets were mostly lower on Friday after U.S. Vice President Mike Pence claimed China had meddled with its midterm elections to unsettle the Trump administration, which Beijing has denied. (AP Photo/Yam G-Jun)

SINGAPORE (AP) -- Asian markets were mostly lower on Friday after U.S. Vice President Mike Pence claimed China had meddled with its midterm elections to unsettle the Trump administration, which Beijing has denied. CHINESE MEDDLING: U.S. Vice President Mike Pence accused China of taking public and covert measures to interfere in the upcoming U.S. midterm elections. Pence charged that Russian influence operations in the U.S. ""pales in comparison"" to Chinese operations. ANALYST'S TAKE: ""Risk sentiments remain fragile, especially with overnight news about China's tiny chip hack and U.S. Vice President Mike Pence's tough words on China's alleged interference in U.S. politics, which could point to a further escalation of the ongoing US-China trade war,"" said Selena Ling, chief economist at OCBC Bank.",https://ph.news.yahoo.com/asian-stocks-fall-us-accuses-065013585.html
4,Apple and Amazon deny report they were hit by one of the most damaging hacks ever,Yahoo UK and Ireland,2018-10-05,0.594216,0.853859,"Phil Schiller, senior vice president of worldwide marketing at Apple Inc., speaks at an Apple event at the Steve Jobs Theater at Apple Park on September 12, 2018 in Cupertino, California: Justin Sullivan/Getty Images

A new report claims that China managed to spy on large swathes of the world by smuggling tiny computer chips into electronic hardware used to power iPhones and many other products. The report claimed that Chinese operatives from the People's Liberation Army had infiltrated a manufacturer of motherboards for servers, Supermicro, and placed tiny chips onto them. The Trump administration has continually told companies like Apple that its equipment should be made in the US instead, and Bloomberg quoted a former official as saying the alleged hack was the result of a ""Satan's bargain"" that the company had made by manufacturing its products in China. ""Apple has never found malicious chips, 'hardware manipulations' or vulnerabilities purposely planted in any server,"" a spokesperson wrote. ""As we shared with Bloomberg BusinessWeek multiple times over the last couple months, at no time, past or present, have we ever found any issues relating to modified hardware or malicious chips in SuperMicro motherboards in any Elemental or Amazon systems,"" an Amazon Web Services spokesperson said.",https://uk.news.yahoo.com/apple-amazon-deny-report-were-131100234.html
5,"Shares in Chinese tech firms tumble, Lenovo plunges over 20 percent",Yahoo UK and Ireland,2018-10-05,0.709781,0.529447,"REUTERS/Thomas White/Illustration

HONG KONG (Reuters) - Shares of Chinese hardware companies fell sharply on Friday, led by computer maker Lenovo Group Ltd which lost more than a fifth of its value. It was not immediately clear what was the cause, but the declines follow a Bloomberg Businessweek report that U.S. tech companies' systems had been infiltrated by malicious chips inserted by Chinese intelligence agents. Bloomberg Businessweek cited unidentified sources from intelligence agencies and business that Chinese spies had placed computer chips inside equipment used by about 30 companies and multiple U.S. government agencies, which would give Beijing secret access to internal networks. Apple Inc and Amazon, cited in the report as companies that had been subject to the hardware attack, both denied the report. Lenovo dropped as much as 23 percent on Friday morning, while Hong Kong-listed shares of Chinese telecommunications equipment maker ZTE Corp lost more than 14 percent.",https://uk.news.yahoo.com/shares-chinese-tech-firms-tumble-030649338.html
6,"UK cyber security agency backs Apple, Amazon China hack denials",Yahoo UK and Ireland,2018-10-06,0.914011,0.817999,"FILE PHOTO: An Apple logo is seen in a store in Los Angeles, California, U.S., March 24, 2017. REUTERS/Lucy Nicholson

LONDON (Reuters) - Britain's national cyber security agency said on Friday it had no reason to doubt the assessments made by Apple and Amazon that refuted a Bloomberg story that their systems contained malicious computer chips inserted by Chinese intelligence. Bloomberg Businessweek on Thursday cited 17 unnamed intelligence and company sources as saying that Chinese spies had placed computer chips inside equipment used by around 30 companies, as well as multiple U.S. government agencies, which would give Beijing secret access to internal networks. ""We are aware of the media reports but at this stage have no reason to doubt the detailed assessments made by AWS and Apple,"" said the National Cyber Security Center, a unit of Britain's eavesdropping agency, GCHQ. ""The NCSC engages confidentially with security researchers and urges anybody with credible intelligence about these reports to contact us,” it said.",https://uk.news.yahoo.com/uk-cyber-security-agency-backs-112009598.html
7,Talking Cars 171: CR Ranks Automated Driving Systems,Yahoo,2018-10-06,0.937072,0.652196,"Consumer Reports has no financial relationship with advertisers on this site. Main themes: This week our panel wades chest-deep into the partially automated driving systems that we’re seeing on more of today’s new cars. CR for the first time has ranked four of the most common systems: Cadillac’s Super Cruise, Nissan/Infiniti’s ProPilot Assist, Tesla’s Autopilot, and Volvo’s Pilot Assist. We go into the pros and cons of each, and explain why none of these systems should be considered self-driving features. Copyright © 2018, Consumer Reports, Inc.",https://www.yahoo.com/news/talking-cars-171-cr-ranks-automated-driving-systems-192637955.html
8,"Asian market sell-off picks up pace, Shanghai tumbles",Yahoo - Singapore,2018-10-08,0.806183,0.829266,"The People's Bank of China cut the amount of cash lenders must keep in reserve in a bid to support the stuttering economy

Asian markets fell on Monday, extending last week's sell-off as another strong US jobs reading further fanned expectations the Federal Reserve will hike interest rates at a quicker pace. The losses in China also came despite a cut in the amount of cash the country's commercial banks must keep in reserve, which its central bank says will pump more than $100 billion into financial markets. The losses in New York seeped into Asia, where Shanghai sank 2.4 percent and Hong Kong lost 0.8 percent with property firms hit by expectations the city's banks will lift mortgage rates again as they track a likely Fed hike. Chinese dealers were playing catch-up with sharp losses last week, when Bloomberg reported that Beijing inserted microchips into equipment made in China for Amazon and Apple, and possibly for other companies and government agencies. The selling trumped news that the People's Bank of China had lowered the required reserve ratio (RRR) as it looks to shore up the economy after a series of weak data, while it also battles a long-running trade row with the United States.",https://ph.news.yahoo.com/asian-market-sell-off-picks-pace-shanghai-tumbles-032129410--finance.html
9,Apple tells Congress it found no signs of hacking attack,Yahoo UK and Ireland,2018-10-08,0.679069,0.984215,"REUTERS/Lucy Nicholson/File Photo

SAN FRANCISCO (Reuters) - Apple Inc's top security officer told Congress on Sunday that it had found no sign of suspicious transmissions or other evidence that it had been penetrated in a sophisticated attack on its supply chain. Apple Vice President for Information Security George Stathakopoulos wrote in a letter to the Senate and House commerce committees that the company had repeatedly investigated and found no evidence for the main points in a Bloomberg Businessweek article published on Thursday, including that chips inside servers sold to Apple by Super Micro Computer Inc allowed for backdoor transmissions to China. ""Apple’s proprietary security tools are continuously scanning for precisely this kind of outbound traffic, as it indicates the existence of malware or other malicious activity. Stathakopoulos repeated Apple's statements to the press that it never found malicious chips or vulnerabilities purposely planted in any server or been contacted by the Federal Bureau of Investigation (FBI) about such concerns. The letter follows statements on Friday by Britain's National Cyber Security Centre and on Saturday by the U.S. Department of Homeland Security that those agencies have no reason to doubt denials from Apple and Amazon.com Inc that they had discovered backdoored chips.",https://uk.news.yahoo.com/apple-tells-congress-found-no-193658192.html
10,"Markets Right Now: Tech, energy lead US stocks lower",Yahoo - Singapore,2018-10-08,0.814314,0.718324,"FILE- This April 24, 2018, file photo shows a sign for a Wall Street building in New York. The U.S. stock market opens at 9:30 a.m. EDT on Monday, Oct. 8. (AP Photo/Mark Lennihan)

NEW YORK (AP) -- The latest on developments in financial markets (all times local):

Losses for technology and energy stocks are leading U.S. indexes lower in early trading on Wall Street. Italy's main stock index dropped 2.6 percent and the yields on its government bonds rose sharply. The Standard & Poor's 500 index fell 9 points, or 0.3 percent, to 2,875.",https://ph.news.yahoo.com/markets-now-tech-energy-lead-134227918.html
11,US stocks dip; European stocks slide on Italy concerns,Yahoo - Singapore,2018-10-08,0.984771,0.861108,"(AP Photo/Mark Lennihan)

NEW YORK (AP) -- U.S. stocks are slipping again Monday morning, and technology and internet companies are taking some of the biggest losses. The yield on the 10-year Treasury note, an important benchmark for mortgages and other types of long-term loans, jumped to 3.22 percent last week. Five-Star leader Luigi Di Maio said Saturday ""there is no plan B"" to a proposal that will increase the deficit to 2.4 percent of annual gross domestic product next year. Italy's FTSE MIB dropped 2.5 percent and Italian bond prices dropped, sending yields higher. ENERGY: Benchmark U.S. crude slid 0.5 percent to $73.95 a barrel in New York and Brent crude, used to price international oils, dropped 0.8 percent to $83.49 a barrel in London.",https://ph.news.yahoo.com/us-stocks-dip-european-stocks-140635950.html
12,"Google poised to unveil new Pixel phones, other services",Yahoo - Singapore,2018-10-09,0.849775,0.645119,"Google is expected to introduce two new smartphones in its relentless push to increase the usage of its digital services and promote its Android software that already powers most of the mobile devices in the world. (AP Photo/Jeff Chiu, File)

NEW YORK (AP) -- Google is expected to introduce two new smartphones Tuesday, part of its continuing push to embed its digital services and Android software more deeply into peoples' lives. Google launched its line of high-end phones two years ago to better compete against Apple, Samsung and other device makers. Google doesn't disclose its phone shipments, unlike Apple, which has sold about 388 million iPhones since the first Pixel came out in October 2016. Google has been somewhat restrained in its distribution and marketing the Pixel phone, Llamas said, because it doesn't want to alienate Samsung and hundreds of other device makers who feature Android in their own phones.",https://ph.news.yahoo.com/google-poised-unveil-pixel-phones-070111490.html
13,Google Pixel 3 goes on sale ahead of launch,Yahoo UK and Ireland,2018-10-09,0.694177,0.802775,"The successor to the Google Pixel 2 XL appears to have been left in a taxi: AFP/Getty Images

Google's latest flagship smartphone has gone on sale, days before it is even officially launched. The Google Pixel 3 and the Google Pixel 3 XL are set to be unveiled on Tuesday, 9 October, however tech bloggers spotted an XL device for sale in Hong Kong. “Google was an early adopter of wireless charging in its Nexus series, but integrating the technology into its flagship product signifies something much bigger - the tech giant’s commitment to a wireless world,"" said Dan Bladen, CEO of wireless power firm Chargifi. Last month, a driver of the Lyft ride-hailing service discovered a high-end Android device that had all the hallmarks of being the next flagship Google Pixel. The leaked images shared by the Lyft driver revealed that Google is planning a dual-lens camera at the front of the device – presumably for improved selfies.",https://uk.news.yahoo.com/google-pixel-3-goes-sale-180200603.html
14,The Latest: Google's new Pixel phones mirror industry trends,Yahoo - Singapore,2018-10-09,0.746339,0.529161,"Google is expected to introduce two new smartphones in its relentless push to increase the usage of its digital services and promote its Android software that already powers most of the mobile devices in the world. (AP Photo/Jeff Chiu, File)

NEW YORK (AP) -- The Latest on Google's new Pixel phones (all times local):

Google's new Pixel phones will mirror the industry trend moving the devices toward lusher and bigger screens, coupled with more fine-tuning of the cameras for better selfies and other pictures. Google is expected to introduce two new smartphones Tuesday, part of its continuing push to embed its digital services and Android software more deeply into peoples' lives. Google launched its line of high-end phones two years ago to better compete against Apple, Samsung and other device makers. Most phone makers besides Apple rely heavily on Google software — both its free Android operating system, which powers most of the world's mobile devices, and other apps such as search, Google Maps and YouTube.",https://ph.news.yahoo.com/latest-googles-pixel-phones-mirror-170431098.html
15,Google appeals record EU fine over Android,Yahoo - Singapore,2018-10-09,0.848424,0.834417,"US tech giant Google has been accused by the of using the Android system's huge popularity on smartphones and tablets to promote the use of its own Google search engine and shut out rivals

Google on Tuesday appealed the biggest ever anti-trust fine by the EU, which imposed a 4.34 billion euro ($5 billion) penalty on the US tech giant for illegally abusing the dominance of its operating system for mobile devices. In an email to AFP, Google spokesman Al Verney confirmed that ""we have now filed our appeal of the European Commission's Android decision at the General Court of the European Union."" In its July decision, Brussels accused Google of using the Android system's huge popularity on smartphones and tablets to promote the use of its own Google search engine and shut out rivals. Google provides Android free to smartphone manufacturers and generates most of its revenue from selling advertisements that appear along with search results. Google CEO Sundar Pichai in July refuted the accusations arguing that the decision ignores the fact that Android phones compete with Apple phones that run on iOS with their own pre-installed apps.",https://ph.news.yahoo.com/google-appeals-record-eu-fine-over-android-192709615.html
16,WeChat rival 'Bullet' removed from App Store over copyright complaint,Yahoo UK and Ireland,2018-10-10,0.543849,0.674523,"FILE PHOTO: Chinese instant messaging app Bullet Messenger is seen on a mobile phone in this illustration picture taken September 4, 2018. REUTERS/Florence Lo/Illustration

BEIJING (Reuters) - Chinese chat app Bullet Messenger - touted as an upstart rival to Tencent Holdings Ltd's hugely popular WeChat - says its app has been removed from Apple Inc's App Store just months after its launch due to a copyright complaint. Beijing Kuairu Technology, Bullet's owner, said in a social media posting on Tuesday that it was forced to pull the app after complaints were raised about image content provided by a partner. It was briefly the most downloaded free app in the Chinese App Store, amassing 5 million registered users within 10 days of its August launch. In checks by Reuters on Tuesday, Bullet Messenger was still available on China's top Android app stores, including stores owned by Tencent, Baidu Inc and Xiaomi Corp.",https://uk.news.yahoo.com/wechat-rival-apos-bullet-apos-084432853.html
17,Tencent-backed live-streaming platform Douyu pulled from app stores in China,Yahoo - Singapore,2018-10-10,0.793032,0.889747,"Tencent-backed live-streaming platform Douyu has been removed from a number of Chinese smartphone app stores. Users of live-streaming sites in China now need to register under real names, while platforms should set up a black list of offending broadcasters, and improve vetting mechanisms to guard against illegal or harmful content, Xinhua said, citing an industry notice. Douyu bans live streamer over Nanking massacre comments and vows to send all hosts for patriotic education

In April, four news apps, including Jinri Toutiao and ifeng News, were removed from app stores for two weeks amid a move by authorities to “clean up” the broadcasting environment. By most accounts, China is home to the biggest active user base of live streaming, with industry revenue expected to grow from last year’s US$5.5 billion to US$16.5 billion by 2022, according to figures included in a filing by Huya, another Chinese live-streaming game platform listed on the New York Stock Exchange. This article Tencent-backed live-streaming platform Douyu pulled from app stores in China first appeared on South China Morning Post

For the latest news from the South China Morning Post download our mobile app.",https://ph.news.yahoo.com/tencent-backed-live-streaming-platform-052636778.html
18,Google Pixel 3 XL launch: Two new Pixel 3 smartphones unveiled for 2018,Yahoo UK and Ireland,2018-10-10,0.912217,0.985837,"At a packed event in London, the company unveiled its latest product range including the much-anticipated Google Pixel 3 phone, a brand new Pixel tablet and some new Google Assistant products. The Google Pixel 3 has had a big screen update, going up to 5.5-inches, from 5-inches on last year's phone, and the headphone jack has finally been retired. The new phone has an OLED HDR screen, like the new iPhone XS range, and it has a thin bezel at the top of the phone. The camera is the same as last year’s Google Pixel 2, but with those software updates. Those camera features will surely keep Google Pixel as the best camera smartphone on the market and Google Pie is going to be pretty good too.",https://uk.news.yahoo.com/made-google-google-unveils-pixel-164900512.html
19,Republican senator seeks briefings on reported China hacking attack,Yahoo UK and Ireland,2018-10-10,0.580971,0.514795,"Senator John Thune (R-SD), chairman of the Senate Commerce, Science and Transportation Committee, questions executives from AT&T, Amazon, Google, Apple and Twitter on safeguards for consumer data privacy in Washington, U.S., September 26, 2018. REUTERS/Joshua Roberts

WASHINGTON (Reuters) - The top Republican on the Senate Commerce Committee has asked Apple Inc, Amazon.com Inc and Super Micro Computer Inc for staff briefings about a Bloomberg report that the Chinese government implanted malicious hardware into server motherboards provided by Super Micro. Senator John Thune said in letters made public on Tuesday to the company's chief executives that he had sought staff briefings by Oct. 12 from the three companies. The companies did not immediately comment on Tuesday on Thune's letter. Apple's top security officer, George Stathakopoulos, told Thune and other members of Congress on Sunday in a letter that the company had found no sign of suspicious transmissions or other evidence that it had been penetrated in a sophisticated attack on its supply chain.",https://uk.news.yahoo.com/republican-senator-seeks-briefings-reported-214137557.html
