,Title,Source,Date,Title Sentiment,Body Sentiment,Summary,Link,Body
1,Apple and Amazon deny report they were hit by one of the most damaging hacks ever,Yahoo UK and Ireland,2018-10-05,0.594216,0.853859,"Phil Schiller, senior vice president of worldwide marketing at Apple Inc., speaks at an Apple event at the Steve Jobs Theater at Apple Park on September 12, 2018 in Cupertino, California: Justin Sullivan/Getty Images

A new report claims that China managed to spy on large swathes of the world by smuggling tiny computer chips into electronic hardware used to power iPhones and many other products. The report claimed that Chinese operatives from the People's Liberation Army had infiltrated a manufacturer of motherboards for servers, Supermicro, and placed tiny chips onto them. The Trump administration has continually told companies like Apple that its equipment should be made in the US instead, and Bloomberg quoted a former official as saying the alleged hack was the result of a ""Satan's bargain"" that the company had made by manufacturing its products in China. ""Apple has never found malicious chips, 'hardware manipulations' or vulnerabilities purposely planted in any server,"" a spokesperson wrote. ""As we shared with Bloomberg BusinessWeek multiple times over the last couple months, at no time, past or present, have we ever found any issues relating to modified hardware or malicious chips in SuperMicro motherboards in any Elemental or Amazon systems,"" an Amazon Web Services spokesperson said.",https://uk.news.yahoo.com/apple-amazon-deny-report-were-131100234.html,"Phil Schiller, senior vice president of worldwide marketing at Apple Inc., speaks at an Apple event at the Steve Jobs Theater at Apple Park on September 12, 2018 in Cupertino, California: Justin Sullivan/Getty Images

A new report claims that China managed to spy on large swathes of the world by smuggling tiny computer chips into electronic hardware used to power iPhones and many other products.

If true, the allegations from Bloomberg News represent the probably the biggest and most destructive hacks ever to have happened. They would allow the Chinese government to have access to devices not by exploiting loopholes but from the very beginning, letting them listen in on people's communications over the internet with ease.

But the companies involved have already strenuously denied the reports, and claimed no such attack has actually happened.

The report claimed that Chinese operatives from the People's Liberation Army had infiltrated a manufacturer of motherboards for servers, Supermicro, and placed tiny chips onto them. Those motherboards had gone on to be used around the world, including in the US, allowing the chips to be easily smuggled into the country.

It claimed that companies including Apple and Amazon had used the hardware to power their popular web services. That would mean that the small Chinese chip would be able to monitor the communications of hundreds of millions of normal people around the world.

The same hardware that powered those cloud services is also used in some of the most important and sensitive parts of US military hardware, including servers for the Department of Defense, which is just one of hundreds of different uses of the affected server motherboards.

State actors including the US and China spend huge amounts of resources on looking for software holes in important computing equipment, and they are regularly found and exploited. But a hardware vulnerability of this kind would be on a scale never before seen – much more difficult to establish, but far more destructive because it could not be fixed up or easily discovered.

China is in a particularly powerful position to carry out such an attack because it continues to make some 90 per cent of the world's computers and 75 per cent of its mobile phones. The Trump administration has continually told companies like Apple that its equipment should be made in the US instead, and Bloomberg quoted a former official as saying the alleged hack was the result of a ""Satan's bargain"" that the company had made by manufacturing its products in China.

But the companies at the heart of the allegations have not only denied them but say they have been rigorously investigated and no such breach was found.

""We are deeply disappointed that in their dealings with us, Bloomberg’s reporters have not been open to the possibility that they or their sources might be wrong or misinformed,"" an Apple spokesperson said. ""Our best guess is that they are confusing their story with a previously reported 2016 incident in which we discovered an infected driver on a single Super Micro server in one of our labs. That one-time event was determined to be accidental and not a targeted attack against Apple.""

It also released a detailed statement that attacked many of the claims made in the article.

""Apple has never found malicious chips, 'hardware manipulations' or vulnerabilities purposely planted in any server,"" a spokesperson wrote. ""Apple never had any contact with the FBI or any other agency about such an incident. We are not aware of any investigation by the FBI, nor are our contacts in law enforcement.""

Amazon said that it had investigated the same reports and that it had not found the problems alleged in the Bloomberg article.

""As we shared with Bloomberg BusinessWeek multiple times over the last couple months, at no time, past or present, have we ever found any issues relating to modified hardware or malicious chips in SuperMicro motherboards in any Elemental or Amazon systems,"" an Amazon Web Services spokesperson said.

Supermicro, the company accused of manufacturing the hardware, said that it is ""not aware of any investigation regarding this topic nor have we been contacted by any government agency in this regard"". It said that it had not been dropped by any company for those reasons, an allegation made in the Bloomberg report."
2,Best Bites: Deconstructed Apple Pie in a Cup,Yahoo,2018-10-05,0.615976,0.985911,"Welcome to Best Bites, a twice-weekly video series that aims to satisfy your never-ending craving for food content through quick, beautiful videos for the at-home foodie. Check back on Tuesdays and Thursdays for new episodes! In this episode of Best Bites, check out how to make a deconstructed apple pie in a cup! RELATED: What to make with those leftover apples",https://www.yahoo.com/news/best-bites-deconstructed-apple-pie-142933645.html,"Welcome to Best Bites, a twice-weekly video series that aims to satisfy your never-ending craving for food content through quick, beautiful videos for the at-home foodie. Check back on Tuesdays and Thursdays for new episodes!

Check out this clever twist on an all-time American classic. In this episode of Best Bites, check out how to make a deconstructed apple pie in a cup!

RELATED: What to make with those leftover apples"
3,"UK cyber security agency backs Apple, Amazon China hack denials",Yahoo UK and Ireland,2018-10-06,0.914011,0.817999,"FILE PHOTO: An Apple logo is seen in a store in Los Angeles, California, U.S., March 24, 2017. REUTERS/Lucy Nicholson

LONDON (Reuters) - Britain's national cyber security agency said on Friday it had no reason to doubt the assessments made by Apple and Amazon that refuted a Bloomberg story that their systems contained malicious computer chips inserted by Chinese intelligence. Bloomberg Businessweek on Thursday cited 17 unnamed intelligence and company sources as saying that Chinese spies had placed computer chips inside equipment used by around 30 companies, as well as multiple U.S. government agencies, which would give Beijing secret access to internal networks. ""We are aware of the media reports but at this stage have no reason to doubt the detailed assessments made by AWS and Apple,"" said the National Cyber Security Center, a unit of Britain's eavesdropping agency, GCHQ. ""The NCSC engages confidentially with security researchers and urges anybody with credible intelligence about these reports to contact us,” it said.",https://uk.news.yahoo.com/uk-cyber-security-agency-backs-112009598.html,"FILE PHOTO: An Apple logo is seen in a store in Los Angeles, California, U.S., March 24, 2017. REUTERS/Lucy Nicholson

LONDON (Reuters) - Britain's national cyber security agency said on Friday it had no reason to doubt the assessments made by Apple and Amazon that refuted a Bloomberg story that their systems contained malicious computer chips inserted by Chinese intelligence.

Bloomberg Businessweek on Thursday cited 17 unnamed intelligence and company sources as saying that Chinese spies had placed computer chips inside equipment used by around 30 companies, as well as multiple U.S. government agencies, which would give Beijing secret access to internal networks.

""We are aware of the media reports but at this stage have no reason to doubt the detailed assessments made by AWS and Apple,"" said the National Cyber Security Center, a unit of Britain's eavesdropping agency, GCHQ.

""The NCSC engages confidentially with security researchers and urges anybody with credible intelligence about these reports to contact us,” it said."
4,Apple tells Congress it found no signs of hacking attack,Yahoo UK and Ireland,2018-10-08,0.679069,0.984215,"REUTERS/Lucy Nicholson/File Photo

SAN FRANCISCO (Reuters) - Apple Inc's top security officer told Congress on Sunday that it had found no sign of suspicious transmissions or other evidence that it had been penetrated in a sophisticated attack on its supply chain. Apple Vice President for Information Security George Stathakopoulos wrote in a letter to the Senate and House commerce committees that the company had repeatedly investigated and found no evidence for the main points in a Bloomberg Businessweek article published on Thursday, including that chips inside servers sold to Apple by Super Micro Computer Inc allowed for backdoor transmissions to China. ""Apple’s proprietary security tools are continuously scanning for precisely this kind of outbound traffic, as it indicates the existence of malware or other malicious activity. Stathakopoulos repeated Apple's statements to the press that it never found malicious chips or vulnerabilities purposely planted in any server or been contacted by the Federal Bureau of Investigation (FBI) about such concerns. The letter follows statements on Friday by Britain's National Cyber Security Centre and on Saturday by the U.S. Department of Homeland Security that those agencies have no reason to doubt denials from Apple and Amazon.com Inc that they had discovered backdoored chips.",https://uk.news.yahoo.com/apple-tells-congress-found-no-193658192.html,"The Apple Inc. store is seen on the day of the new iPhone 7 smartphone launch in Los Angeles, California, U.S., September 16, 2016. REUTERS/Lucy Nicholson/File Photo

SAN FRANCISCO (Reuters) - Apple Inc's top security officer told Congress on Sunday that it had found no sign of suspicious transmissions or other evidence that it had been penetrated in a sophisticated attack on its supply chain.

Apple Vice President for Information Security George Stathakopoulos wrote in a letter to the Senate and House commerce committees that the company had repeatedly investigated and found no evidence for the main points in a Bloomberg Businessweek article published on Thursday, including that chips inside servers sold to Apple by Super Micro Computer Inc allowed for backdoor transmissions to China.

""Apple’s proprietary security tools are continuously scanning for precisely this kind of outbound traffic, as it indicates the existence of malware or other malicious activity. Nothing was ever found,"" he wrote in the letter provided to Reuters.

Stathakopoulos repeated Apple's statements to the press that it never found malicious chips or vulnerabilities purposely planted in any server or been contacted by the Federal Bureau of Investigation (FBI) about such concerns. He said he would be available to brief Congressional staff on the issue this week.

The letter follows statements on Friday by Britain's National Cyber Security Centre and on Saturday by the U.S. Department of Homeland Security that those agencies have no reason to doubt denials from Apple and Amazon.com Inc that they had discovered backdoored chips.

Bloomberg said on Friday it stood by its story, which was based on 17 anonymous sources. Some allegations were based on fewer accounts or even a single unnamed source, Apple noted in its letter.

A Bloomberg spokeswoman did not immediately respond to questions sent on Sunday."
5,"Google unveils new Pixel phone, adds tablet in Apple challenge",Yahoo UK and Ireland,2018-10-10,0.731206,0.535629,"The Google Pixel 3 third generation smartphones are seen on display after a news conference in Manhattan, New York, U.S., October 9, 2018. REUTERS/Shannon Stapleton

SAN FRANCISCO (Reuters) - Alphabet Inc's  Google on Tuesday unveiled the third edition of its Pixel smartphone, a Google Home smart speaker with a display and its first tablet computer as it makes a come-from-behind push into hardware. Pixel phones, though, have been a tougher sell, launching with glitches and garnering less than 1 percent of the global market by shipments in Google's first two years of trying, according to research firm Strategy Analytics. The Pixel 3, priced at $799, and a larger Pixel 3 XL, priced at $899, mark Google's latest entries for a phone lineup it hopes will someday be as popular as Apple Inc's  iPhone. The Pixel 3 faces continued limited sales in the United States since Google again signed an exclusive distribution deal with wireless carrier Verizon Communications Inc  that means the device will get little marketing from other carriers.",https://uk.news.yahoo.com/google-goes-global-10-events-pixel-phones-080544411--finance.html,"The Google Pixel 3 third generation smartphones are seen on display after a news conference in Manhattan, New York, U.S., October 9, 2018. REUTERS/Shannon Stapleton

SAN FRANCISCO (Reuters) - Alphabet Inc's  Google on Tuesday unveiled the third edition of its Pixel smartphone, a Google Home smart speaker with a display and its first tablet computer as it makes a come-from-behind push into hardware.

The company's Android software has gone from being an also-ran to the brains of most of the world's smartphones and Google topped Amazon.com Inc  in smart speaker sales in recent quarters.

Pixel phones, though, have been a tougher sell, launching with glitches and garnering less than 1 percent of the global market by shipments in Google's first two years of trying, according to research firm Strategy Analytics.

The Pixel 3, priced at $799, and a larger Pixel 3 XL, priced at $899, mark Google's latest entries for a phone lineup it hopes will someday be as popular as Apple Inc's  iPhone.

The Pixel Slate tablet runs Google's beefier Chrome OS laptop operating system rather than Android. It is priced at $599, aimed at competing with Apple's iPad Pro.

Shares of Alphabet barely moved on the announcements. Financial analysts said it is difficult to evaluate Google’s hardware business as it is overshadowed by profits from search ads.

Google branched into hardware three years ago so that, like Apple, it could have full control of the performance of its applications and the revenue they generate. Other phone makers sometimes crowd out Google's apps with their own or take a share of ad revenue, hurting Alphabet's profits.

Expanding geographic distribution should provide a small boost to the Pixel line-up. The Pixel 3 will launch in 10 countries, up from six for the Pixel 2 a year ago. New additions include France, Ireland, Japan and Taiwan.

The Slate is available in the United States, the U.K. and Canada.

A new artificial intelligence tool sure to generate buzz among consumers also could be helpful. The software, launching on U.S. Pixels only, answers calls, requests information about the nature of the calls and shares it as text with the recipient.

""We’ve built the first phone that can answer the phone,"" Rick Osterloh, Google's senior vice president for hardware, told media on Tuesday.

Ryan Reith, who leads device research at tech consulting firm IDC, said Google did not change enough in the Pixel 3 for it to stand apart from more well-known competitors.

""Some of the stuff they are doing with software and artificial intelligence is certainly leading edge,"" he said. ""But as a lot of the technology advancements become more naked to the eye, it becomes that much tougher to sell.""

Google shipped 2.53 million Pixel 2 and 2 XL devices through the nine months ended June 30, Strategy Analytics said. The first Pixel devices hit 2.4 million shipments in the nine months ended June 30, 2017, the firm said.

Limited adoption has reflected Google's hesitancy to go as wide and big in distributing and marketing the Pixel as Apple, which launched its last two iPhone line-ups in about 50 countries.

Going from a small experiment to a polished product that works in various languages and is backed by large sales, support and technical teams has been part of Google's challenge.

Last year's Pixel 2 arrived with bugs that prompted user complaints about unwanted noises during calls, a crashing camera app and an unexpected screen tint. In response, Google doubled warranties to two years.

The Pixel 3 faces continued limited sales in the United States since Google again signed an exclusive distribution deal with wireless carrier Verizon Communications Inc  that means the device will get little marketing from other carriers.

Google said it would augment distribution by opening two temporary stores in popular neighbourhoods of Chicago and New York on Oct. 18 and putting up displays at U.S. tech retailer B8ta and Goop.

Google's new smart speaker, which has a display to show visual responses to voice commands, mostly matches offerings from Amazon.com Inc  and Facebook Inc .

Unlike its competitors, Google said its Home Hub, priced at $149, does not have a video conferencing camera. Home Hub is launching in the United States, the U.K. and Australia.

The nod to privacy concerns comes as Google and other big U.S. tech companies try to bounce back from recent data breach scandals."
6,Trump Tariffs Push Small Firms to Plead for Same Relief as Apple,Yahoo,2018-10-11,0.572894,0.74644,"(Bloomberg) -- Paul Shekoski thinks he presented a good case why the weather stations and other products his company makes in China should be spared from President Donald Trump’s tariffs. Shekoski, chief executive of the Primex Family of Companies in Lake Geneva, Wisconsin, is among the hundreds of U.S. companies filing requests by Tuesday’s deadline for exclusions from the initial round of tariffs imposed on Chinese imports. Companies including Apple Inc. successfully avoided having tariffs imposed on products, and General Motors Co. and HP Inc. are among those seeking duty exclusions for goods such as the China-built Buick Envision and toner cartridges. Meanwhile Ohio-based Weastec Inc. has filed more than 60 requests for exclusions from tariffs on switches and other automotive parts it imports from a sister company in China for warehousing and just-in-time delivery to Honda and other automakers in the U.S., said Doug Ernst, senior manager of operations at the firm, which employs about 190. Besides Tuesday’s filing deadline for the initial tranche of tariffs, companies must file requests for exclusions from the $16 billion list by Dec. 18.",https://www.yahoo.com/news/trump-tariffs-push-small-firms-080000087.html,"(Bloomberg) -- Paul Shekoski thinks he presented a good case why the weather stations and other products his company makes in China should be spared from President Donald Trump’s tariffs. As a small-scale employer, he’s not optimistic he will win.

Shekoski, chief executive of the Primex Family of Companies in Lake Geneva, Wisconsin, is among the hundreds of U.S. companies filing requests by Tuesday’s deadline for exclusions from the initial round of tariffs imposed on Chinese imports. While Shekoski has testified against the duties, asked elected representatives for help and filed for exclusions on almost 80 products, he puts the odds of getting them approved at less than 10 percent.

“It’s swimming upstream,” said Shekoski, whose business employs about 200 people. “At the end of the day, we’re fairly small and not very visible, so we’re kind of caught in the process.”

Companies including Apple Inc. successfully avoided having tariffs imposed on products, and General Motors Co. and HP Inc. are among those seeking duty exclusions for goods such as the China-built Buick Envision and toner cartridges. But some smaller businesses such as Primex say they fear they lack the clout and resources to prevail, and they can’t afford to quickly switch suppliers.

Shekoski said his supply chain was built over three decades and the duties are enough to wipe out his annual profit, which would threaten the 75-year-old business.

Meanwhile Ohio-based Weastec Inc. has filed more than 60 requests for exclusions from tariffs on switches and other automotive parts it imports from a sister company in China for warehousing and just-in-time delivery to Honda and other automakers in the U.S., said Doug Ernst, senior manager of operations at the firm, which employs about 190.

The parts are made with unique tooling and manufacturing processes that only exist in China and can’t be produced in a cost-effective manner in the U.S. or any other country, Ernst said. The initial round of duties would add $635,000 in costs in the coming year, and the total with the third tranche of duties would be $4.1 million, he said.

“I hope I’m wrong, but I would think that the bigger players would get more consideration than folks like us would,’’ Ernst said. “Money talks and the big businesses get more press and economically they’re more, I guess, critical to the overall country.’’

Each request for exclusion is judged by career trade experts on the same criteria, regardless of the requester, the Office of the U.S. Office of Trade Representative said in a statement. Decisions are based on whether a product is available only from China, whether duties “would cause severe economic harm” to the company or U.S. interests, and whether the item is strategically important.

The Trump administration has imposed three rounds of tariffs, starting with 25 percent on $34 billion in goods July 6 and on $16 billion worth of products Aug. 23. A 10 percent duty on $200 billion took effect last month and is set to increase to 25 percent on Jan. 1, while Trump has threatened even more duties on top of that.

Before each tranche of tariffs, hundreds of U.S. companies and trade groups testified at public hearings seeking to avoid the duties, most unsuccessfully. The White House spared some categories of products, including those that cover the Apple Watch and AirPods as well as fitness trackers from Fitbit Inc.

Exclusions are the final chance for companies to avoid the duties. Besides Tuesday’s filing deadline for the initial tranche of tariffs, companies must file requests for exclusions from the $16 billion list by Dec. 18. While the Trump administration hasn’t put an exclusion process in place for the $200 billion list, the National Retail Federation and 120 other organizations in the Americans for Free Trade coalition have asked USTR to include one.

The USTR has begun to issue decisions, and of the more than 2,000 requests posted as of Oct. 4, 108 have been denied and 25 are being reviewed with U.S. Customs and Border Protection to determine whether an exclusion can be administered, according to data published by the government.

Chicago-based Hallmark Industries Inc., which has 10 employees and supplies water pumps and motors, had four exclusion requests denied and expected that, President Henry Huang said. Trump has threatened to slap tariffs on virtually all Chinese imports, and granting exclusions undermines that effort, he said.

“If you exclude everything made in China, pretty much this whole tariff thing is a waste,’’ Huang said. Mike Bergmeier, president and principle owner of Shield Industries Inc. in South Hutchinson, Kansas, said he supports what the administration is trying to do but can’t afford a protracted trade war. Bergmeier said he only filed exclusion requests on his agricultural equipment parts that have never been made in the U.S. While they technically could be manufactured outside of China, the time and cost it would take isn’t practical for the company with 42 employees. “It’s not going to hurt anybody except me and my company and my employment,’’ he said. Robert Piazza, chief executive officer of California-based Price Pump Co. with 36 employees, said he doesn’t have the political pull or ability to lobby as an Apple or other large company. But he’s filed for exclusions on metal castings he imports from China because they would cost about three times as much made elsewhere, and he’s obligated to try. “I would hope that government would be objective, but I think that’s just wishful thinking,’’ Piazza said. To contact the reporter on this story: Mark Niquette in Columbus at mniquette@bloomberg.net To contact the editors responsible for this story: Sara Forden at sforden@bloomberg.net, Randall Woods For more articles like this, please visit us at bloomberg.com"
7,Apple gets critical iPhone technology in $600 million Dialog deal,Yahoo,2018-10-12,0.575422,0.50114,"REUTERS/Aly Song/File Photo

SAN FRANCISCO/FRANKFURT (Reuters) - Apple Inc is taking control over the power-management technology at the heart of its iPhones in a $600 million deal with Dialog Semiconductor that also secures the German-listed company's role as a supplier to the U.S. tech giant. Dialog shares surged as much as 34 percent on Thursday, their most since 2002, as the deal bought the company time to reduce its dependence on Apple - which it expects to account for three-quarters of this year's sales. Dialog's shares had tumbled earlier this year when it said Apple planned to use chips from another supplier. Under the deal, Apple is buying patents, taking on a 300-strong engineering team, most of whom already worked on chips for Apple devices, and Dialog offices in Britain, Italy and Germany. After the deal, Dialog expects Apple to account for 35-40 percent of its total revenues in 2022.",https://www.yahoo.com/news/apple-buy-part-supplier-dialogs-business-600-million-064514379--finance.html,"A man looks at the screen of his mobile phone in front of an Apple logo outside its store in Shanghai, China July 30, 2017. REUTERS/Aly Song/File Photo

SAN FRANCISCO/FRANKFURT (Reuters) - Apple Inc is taking control over the power-management technology at the heart of its iPhones in a $600 million deal with Dialog Semiconductor that also secures the German-listed company's role as a supplier to the U.S. tech giant.

The agreement to license technology and take on people from the Anglo-German chip designer is not only unusual, but also the largest of its kind by Apple, whose last sizeable acquisition was the $350 million purchase of Face ID creator PrimeSense in 2013.

Dialog shares surged as much as 34 percent on Thursday, their most since 2002, as the deal bought the company time to reduce its dependence on Apple - which it expects to account for three-quarters of this year's sales.

Dialog's shares had tumbled earlier this year when it said Apple planned to use chips from another supplier.

Dialog Chief Executive Jalal Bagherli told Reuters he could now lead a ""managed, smooth"" transformation of the business as Dialog seeks new opportunities in areas such as the Internet of Things that includes connected devices like home speakers, fitness trackers or smart watches.

Since the first iPhones a decade ago, Apple has used Dialog power-management chips to extend their battery life. Under the deal, Apple is buying patents, taking on a 300-strong engineering team, most of whom already worked on chips for Apple devices, and Dialog offices in Britain, Italy and Germany.

Dialog said its 2018 revenue would not be affected and it would continue shipments of existing main power management integrated circuits (PMICs) to Apple. It expects to sell current and future generations of so-called sub-PMICs to Apple.

Bagherli said that Apple increasingly viewed main PMICs, which are central to the operation of its devices, as a strategic element that it wanted to control directly. This was not the case for sub-PMICs that manage features such as on-board cameras, he told Reuters.

After the deal, Dialog expects Apple to account for 35-40 percent of its total revenues in 2022. That is down from around 75 percent in the current year. Headcount will fall to 1,800.

The chipmaker also said it would begin a share buyback programme for up to 10 percent of its stock following its next quarterly trading update. The $600 million windfall will add to Dialog's already-healthy net cash position of $525 million, analysts said.

Other chip designers in Europe have struggled to manage their relationship with Apple due to its sheer scale. Britain's Imagination Technologies ended up being sold to a Chinese-backed fund last year after losing Apple as a client.

""Dialog has bought itself much more than just time,"" said Karsten Iltgen, an analyst at Bankhaus Lampe, which rates the stock 'buy'. ""Its Apple business has been clearly defined and put on a sound long-term footing.""

Half of the deal's value, or about $300 million, is cash for the Dialog engineers and offices and the other $300 million is pre-payment to Dialog for supplying chips over the next three years, the companies said.

Dialog said it would continue to deliver chips to other customers, focusing on the automotive and internet-of-things markets, among others.

It forecast that its sub-PMIC business would achieve compound annual growth rates of 30-35 percent between 2018 and 2022. Its AMS, Connectivity and Automotive & Industrial business would grow at a 10-15 percent rate.

The deal represents an expansion of Apple's chip design operations, which kicked into high gear in 2010 when the company released its first custom processor for the iPad and iPhone.

Apple is buying about 16 percent of Dialog's workforce. Apple said these employees would stay in Europe and would report to Johny Srouji, the company's senior vice president of hardware technologies who oversees Apple's chip design efforts.

""Our relationship with Dialog goes all the way back to the early iPhones, and we look forward to continuing this long-standing relationship with them,” Srouji said. Apple has added around 20,000 employees in Europe since 2000. It already has a chip design centres in Munich, Germany, where it employs 1,000 staff, and St Albans, Britain. The deal will give Apple four more from Dialog, in Livorno in Italy, Swindon in Britain, and Nabern and Neuaubing in Germany.

The transaction is expected to close in the first half of 2019, subject to customary closings and regulator approvals, Dialog said. It expects annual operational savings of $35 million from the deal, but declined to give more detail on its financial impact ahead of an investor presentation on Nov. 1.

Dialog said Qatalyst Partners acted as its financial adviser and Linklaters as its legal counsel."
8,Money mysteriously disappears from people's iPhones in attack linked to Apple IDs,Yahoo UK and Ireland,2018-10-13,0.763127,0.856639,"Alibaba-affiliate Alipay warned users that accounts linked to Apple ID were being used by criminals to make fraudulent purchases. “Alipay has contacted Apple many times...and the issue has not been resolved,” Alipay wrote in a post to the company's Toutiao social media account. People on social media complained of amounts of up to 2,000 yuan (£219) going missing from their accounts – the withdrawal limit for single transactions using Alipay. It appears that hackers obtained the victims' Apple ID details and used them to verify transactions on the payment apps. Alipay advised users to reduce their transaction limits on their accounts to help protect against the issue.",https://uk.news.yahoo.com/money-mysteriously-disappears-people-apos-163200462.html,"A worker stands on the roof of an Apple store in Beijing, China, on September 1, 2018: AFP/Getty Images

Thousands of pounds is mysteriously disappearing from Apple accounts linked to two major Chinese mobile payment platforms.

Alibaba-affiliate Alipay warned users that accounts linked to Apple ID were being used by criminals to make fraudulent purchases.

“Alipay has contacted Apple many times...and the issue has not been resolved,” Alipay wrote in a post to the company's Toutiao social media account.

According to the Shanghai Observer, the issue has been affected iPhone users ""across the country,"" with many of them sharing their experiences on the Chinese social network Weibo.

People on social media complained of amounts of up to 2,000 yuan (£219) going missing from their accounts – the withdrawal limit for single transactions using Alipay.

It appears that hackers obtained the victims' Apple ID details and used them to verify transactions on the payment apps.

Alipay advised users to reduce their transaction limits on their accounts to help protect against the issue.

Users of a second digital payment service, WeChat Pay, also complained about money disappearing, though it is not yet clear how widespread the problem is.

Apple did not respond to a request for comment from The Independent but a spokesperson indicated to The Wall Street Journal that there were ways to better protect Apple IDs against fraud.

Such measures include two-factor authentication, which essentially involves logging in twice using two different methods, such as a password and facial recognition."
9,Einhorn's Greenlight exits Apple on U.S.-China trade war fears,Yahoo! NEWS Canada,2018-10-05,0.757173,0.502699,"FILE PHOTO: David Einhorn, President of Greenlight Capital, Inc., presents during the 2018 Sohn Investment Conference in New York City, U.S., April 23, 2018. REUTERS/Brendan McDermid

(Reuters) - David Einhorn's Greenlight Capital sold its remaining shares of Apple Inc on growing fear of ""Chinese retaliation against America's trade policies"", according to a letter sent by the hedge fund to investors. Einhorn in August slashed his bet on Apple by 77 percent to 142,100 shares. The firm sold the remaining Apple stock on Aug. 31 at $228 per share. The company's shares were down 2 percent at $223.43 on Friday.",https://ca.finance.yahoo.com/news/einhorns-greenlight-exits-apple-u-china-trade-war-170514412--sector.html,"FILE PHOTO: David Einhorn, President of Greenlight Capital, Inc., presents during the 2018 Sohn Investment Conference in New York City, U.S., April 23, 2018. REUTERS/Brendan McDermid

(Reuters) - David Einhorn's Greenlight Capital sold its remaining shares of Apple Inc on growing fear of ""Chinese retaliation against America's trade policies"", according to a letter sent by the hedge fund to investors.

Einhorn in August slashed his bet on Apple by 77 percent to 142,100 shares. The firm sold the remaining Apple stock on Aug. 31 at $228 per share.

Apple did not immediately respond to a request for comment.

The company's shares were down 2 percent at $223.43 on Friday."
10,Apple issues a software update to fix a problem where the new iPhones wouldn't charge when you plugged them in,Yahoo Finance Australia,2018-10-08,0.957165,0.702978,"Apple is rolling out an update for iOS 12 devices on Monday that contains a fix for a charging issue reported on social media and support forums by several iPhone XS and XS Max users. Apple says the update ""fixes an issue where some iPhone XS devices did not immediately charge when connected to a Lightning cable."" Lewis Hilsenteger, a popular tech YouTube creator with the Unbox Therapy channel, recently posted a video where he found that several of the nine iPhones he tested had charging issues. The issue was problematic for some people who would plug in their new iPhone to charge overnight, only to wake up to a phone with a depleted battery. The fix in the iOS 12 update is the only acknowledgment of the issue from Apple.",https://au.finance.yahoo.com/news/apple-issues-software-fix-problem-064723437.html,"Apple is rolling out an update for iOS 12 devices on Monday that contains a fix for a charging issue reported on social media and support forums by several iPhone XS and XS Max users.

Apple says the update ""fixes an issue where some iPhone XS devices did not immediately charge when connected to a Lightning cable.""

These new models wouldn't start charging if their screen was sleeping or turned off - the only way to get the iPhone to start charging was to wake the display or to unplug and replug the Lightning cable.

Lewis Hilsenteger, a popular tech YouTube creator with the Unbox Therapy channel, recently posted a video where he found that several of the nine iPhones he tested had charging issues.

The issue was problematic for some people who would plug in their new iPhone to charge overnight, only to wake up to a phone with a depleted battery.

The fix in the iOS 12 update is the only acknowledgment of the issue from Apple. It comes three weeks after it released the new iPhones.

The update began rolling out on Monday starting at 10 a.m. PT/1 p.m. ET. You can update to the latest version of iOS by heading to Settings > General > Software Update."
